Protein,NAME,BINCODE,mean,V1,V2,V3,V4,V5,V6,V7,mult_assignment
eucgr.a00348.1.p,"'TCA / org transformation.TCA.pyruvate DH.E3', 'lipid metabolism.FA synthesis and FA elongation.pyruvate DH'","_8.1.1.3_, _11.1.31_",0.294326980953933,'TCA / org transformation.TCA.pyruvate DH.E3', 'lipid metabolism.FA synthesis and FA elongation.pyruvate DH',NA,NA,NA,NA,NA,_8.1.1.3_
eucgr.a00926.1.p,"'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'","_17.1.1_, _26.2_",0.0992807644635242,'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,NA,NA,_17.1.1_
eucgr.a00934.1.p,"'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'","_17.1.1_, _26.2_",0.389533204098274,'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,NA,NA,_17.1.1_
eucgr.a00945.1.p,"'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'","_17.1.1_, _26.2_",0.115278573193514,'hormone metabolism.abscisic acid.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,NA,NA,_17.1.1_
eucgr.a01021.4.p,"'amino acid metabolism.synthesis.aspartate family.methionine', 'amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase', 'metal handling.binding, chelation and storage'","_13.1.3.4_, _13.1.3.4.11_, _15.2_",0.608025983635224,'amino acid metabolism.synthesis.aspartate family.methionine', 'amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase', 'metal handling.binding, chelation and storage',NA,NA,NA,_13.1.3.4_
eucgr.a01389.1.p,"'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases'","_16.2.1.9_, _26.6_",0.116721011229223,'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases',NA,NA,NA,NA,NA,_16.2.1.9_
eucgr.a01392.1.p,"'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases'","_16.2.1.9_, _26.6_",0.590272252374114,'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases',NA,NA,NA,NA,NA,_16.2.1.9_
eucgr.a01395.1.p,"'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases'","_16.2.1.9_, _26.6_",0.37874620166158,'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases',NA,NA,NA,NA,NA,_16.2.1.9_
eucgr.a01538.1.p,"'PS.calvin cycle.aldolase', 'glycolysis.cytosolic branch.aldolase', 'glycolysis.unclear/dually targeted.aldolase'","_1.3.6_, _4.1.10_, _4.3.10_",2.71040340952714,'PS.calvin cycle.aldolase', 'glycolysis.cytosolic branch.aldolase', 'glycolysis.unclear/dually targeted.aldolase',NA,NA,NA,NA,_1.3.6_
eucgr.a01833.1.p,"'transport.metabolite transporters at the envelope membrane', 'transport.metabolite transporters at the mitochondrial membrane', 'transport.unspecified cations'","_34.8_, _34.9_, _34.14_",0.711709945575397,'transport.metabolite transporters at the envelope membrane', 'transport.metabolite transporters at the mitochondrial membrane', 'transport.unspecified cations',NA,NA,NA,NA,_34.8_
eucgr.a01869.1.p,"'mitochondrial electron transport / ATP synthesis.NADH-DH.complex I', 'cell.cycle'","_9.1.1_, _31.3_",0.39237428703449,'mitochondrial electron transport / ATP synthesis.NADH-DH.complex I', 'cell.cycle',NA,NA,NA,NA,NA,_9.1.1_
eucgr.a01929.1.p,"'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L11', 'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L16'","_29.2.1.2.2.11_, _29.2.1.2.2.16_",0.971508381592063,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L11', 'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L16',NA,NA,NA,NA,NA,_29.2.1.2.2.11_
eucgr.a02118.1.p,"'cell wall.degradation.cellulases and beta -1,4-glucanases', 'misc.gluco-, galacto- and mannosidases'","_10.6.1_, _26.3_",0.109299053567744,'cell wall.degradation.cellulases and beta -1,4-glucanases', 'misc.gluco-, galacto- and mannosidases',NA,NA,NA,_10.6.1_
eucgr.a02236.1.p,"'DNA.synthesis/chromatin structure', 'DNA.repair'","_28.1_, _28.2_",0.170625144811401,'DNA.synthesis/chromatin structure', 'DNA.repair',NA,NA,NA,NA,NA,_28.1_
eucgr.a02321.1.p,"'secondary metabolism.flavonoids.flavonols.flavonol 3-O-glycosyltransferase', 'misc.UDP glucosyl and glucoronyl transferases'","_16.8.4.2_, _26.2_",0.105850768221409,'secondary metabolism.flavonoids.flavonols.flavonol 3-O-glycosyltransferase', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,NA,NA,_16.8.4.2_
eucgr.a02367.1.p,"'stress', 'stress.abiotic.unspecified'","_20_, _20.2.99_",0.224311955776293,'stress', 'stress.abiotic.unspecified',NA,NA,NA,NA,NA,_20_
eucgr.a02597.1.p,"'stress.biotic', 'development.unspecified'","_20.1_, _33.99_",0.0395449763551453,'stress.biotic', 'development.unspecified',NA,NA,NA,NA,NA,_20.1_
eucgr.a02619.1.p,"'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)', 'misc.short chain dehydrogenase/reductase (SDR)'","_17.1.1.1.11_, _26.22_",0.0563503301020844,'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)', 'misc.short chain dehydrogenase/reductase (SDR)',NA,NA,NA,NA,NA,_17.1.1.1.11_
