BINCODE,NAME,IDENTIFIER,DESCRIPTION,TYPE
_0_,'control genes','','',
_1_,'PS','eucgr.f02481.1.p',"'(at5g38660 : 295.0) mutant has Altered acclimation responses;; ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT (APE1); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2854 (InterPro:IPR021275), Proteasome maturation factor UMP1 (InterPro:IPR008012); BEST Arabidopsis thaliana protein match is: Proteasome maturation factor UMP1 (TAIR:AT5G38650.1). & (ipr021275 : 127.02784) Protein of unknown function DUF2854 & (reliability: 590.0) &  (original description: no original description)'",T
_1.1_,'PS.lightreaction','','',
_1.1.1_,'PS.lightreaction.photosystem II','','',
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.e02381.1.p',"'(p27493|cb22_tobac : 456.0) Chlorophyll a-b binding protein 21, chloroplast precursor (LHCII type I CAB-21) (LHCP) - Nicotiana tabacum (Common tobacco) & (at2g34430 : 425.0) Photosystem II type I chlorophyll            a/b-binding protein; light-harvesting chlorophyll-protein complex II subunit B1 (LHB1B1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II, photosynthesis; LOCATED IN: in 8 components; EXPRESSED IN: shoot, cotyledon, guard cell, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2425 Blast hits to 2344 proteins in 223 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2094; Viruses - 0; Other Eukaryotes - 327 (source: NCBI BLink). & (gnl|cdd|84819 : 171.0) no description available & (ipr022796 : 112.184814) Chlorophyll A-B binding protein & (reliability: 850.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.a01047.1.p',"'(p27494|cb23_tobac : 436.0) Chlorophyll a-b binding protein 36, chloroplast precursor (LHCII type I CAB-36) (LHCP) - Nicotiana tabacum (Common tobacco) & (at2g05070 : 420.0) Encodes Lhcb2.2.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus.; photosystem II light harvesting complex gene 2.2 (LHCB2.2); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting, photosynthesis; LOCATED IN: in 7 components; EXPRESSED IN: guard cell, juvenile leaf, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem II light harvesting complex gene 2.1 (TAIR:AT2G05100.1); Has 2376 Blast hits to 2314 proteins in 223 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2060; Viruses - 0; Other Eukaryotes - 312 (source: NCBI BLink). & (gnl|cdd|84819 : 178.0) no description available & (ipr022796 : 114.86689) Chlorophyll A-B binding protein & (reliability: 840.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.d00322.1.p',"'(p27493|cb22_tobac : 491.0) Chlorophyll a-b binding protein 21, chloroplast precursor (LHCII type I CAB-21) (LHCP) - Nicotiana tabacum (Common tobacco) & (at2g34430 : 461.0) Photosystem II type I chlorophyll            a/b-binding protein; light-harvesting chlorophyll-protein complex II subunit B1 (LHB1B1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II, photosynthesis; LOCATED IN: in 8 components; EXPRESSED IN: shoot, cotyledon, guard cell, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2425 Blast hits to 2344 proteins in 223 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2094; Viruses - 0; Other Eukaryotes - 327 (source: NCBI BLink). & (gnl|cdd|84819 : 187.0) no description available & (ipr022796 : 114.65925) Chlorophyll A-B binding protein & (reliability: 922.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.d00320.1.p',"'(p27493|cb22_tobac : 488.0) Chlorophyll a-b binding protein 21, chloroplast precursor (LHCII type I CAB-21) (LHCP) - Nicotiana tabacum (Common tobacco) & (at1g29930 : 448.0) Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center.; chlorophyll A/B binding protein 1 (CAB1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis; LOCATED IN: light-harvesting complex, thylakoid, chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: guard cell, juvenile leaf, cultured cell; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 3 (TAIR:AT1G29910.1); Has 2419 Blast hits to 2339 proteins in 222 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2091; Viruses - 0; Other Eukaryotes - 324 (source: NCBI BLink). & (gnl|cdd|84819 : 180.0) no description available & (ipr022796 : 114.94693) Chlorophyll A-B binding protein & (reliability: 896.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.f01077.1.p',"'(at5g54270 : 405.0) Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II).; light-harvesting chlorophyll B-binding protein 3 (LHCB3); FUNCTIONS IN: structural molecule activity; INVOLVED IN: photosynthesis; LOCATED IN: light-harvesting complex, thylakoid, chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem II light harvesting complex gene 2.1 (TAIR:AT2G05100.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). & (p27523|cb23_horvu : 390.0) Chlorophyll a-b binding protein of LHCII type III, chloroplast precursor (CAB) - Hordeum vulgare (Barley) & (gnl|cdd|84819 : 157.0) no description available & (ipr022796 : 101.05138) Chlorophyll A-B binding protein & (reliability: 810.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.f04099.1.p',"'(at4g10340 : 416.0) photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus; light harvesting complex of photosystem II 5 (LHCB5); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: response to blue light, response to red light, response to far red light, photosynthesis, nonphotochemical quenching; LOCATED IN: in 9 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2360 Blast hits to 2295 proteins in 226 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2013; Viruses - 0; Other Eukaryotes - 343 (source: NCBI BLink). & (p15194|cb2b_pinsy : 208.0) Chlorophyll a-b binding protein type 2 member 1B, chloroplast precursor (Chlorophyll a-b binding protein type II 1B) (CAB) (LHCP) - Pinus sylvestris (Scots pine) & (gnl|cdd|84819 : 162.0) no description available & (ipr022796 : 104.48383) Chlorophyll A-B binding protein & (reliability: 832.0) &  (original description: no original description)'",T
