BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1'	'Photosynthesis'	''	''	
'1.1'	'Photosynthesis.photophosphorylation'	''	''	
'1.1.1'	'Photosynthesis.photophosphorylation.photosystem II'	''	''	
'1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex'	''	''	
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	'eucgr.e02381.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)'	T
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	'eucgr.a01047.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)'	T
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	'eucgr.d00322.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)'	T
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	'eucgr.d00320.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)'	T
'1.1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component'	'eucgr.k02983.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component (original description: none)'	T
'1.1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component'	'eucgr.g03060.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component (original description: none)'	T
'1.1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component'	'eucgr.f04099.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component (original description: none)'	T
'1.1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component'	'eucgr.i02677.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component (original description: none)'	T
'1.1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component'	'eucgr.g00777.1.p'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component (original description: none)'	T
'1.1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCq component'	''	''	
