BINCODE,NAME,IDENTIFIER,DESCRIPTION,TYPE
_1_,'Photosynthesis','','',
_1.1_,'Photosynthesis.photophosphorylation','','',
_1.1.1_,'Photosynthesis.photophosphorylation.photosystem II','','',
_1.1.1.1_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex','','',
_1.1.1.1.1_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component','eucgr.e02381.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)',T
_1.1.1.1.1_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component','eucgr.a01047.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)',T
_1.1.1.1.1_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component','eucgr.d00322.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)',T
_1.1.1.1.1_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component','eucgr.d00320.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component (original description: none)',T
_1.1.1.1.2_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component','eucgr.k02983.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component (original description: none)',T
_1.1.1.1.2_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component','eucgr.g03060.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component (original description: none)',T
_1.1.1.1.3_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component','eucgr.f04099.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component (original description: none)',T
_1.1.1.1.4_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component','eucgr.i02677.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component (original description: none)',T
_1.1.1.1.4_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component','eucgr.g00777.1.p','Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component (original description: none)',T
_1.1.1.1.5_,'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCq component','','',
_1.1.1.2_,'Photosynthesis.photophosphorylation.photosystem II.PS-II complex','','',
